city,latitude,longitude,average_temp,lat,lon
Kabul,34.56N,"70.05E",15.132,34.56,70.05
Kabul,34.56N,"70.05E",8.47,34.56,70.05
Kabul,34.56N,"70.05E",4.701,34.56,70.05
Kabul,34.56N,"70.05E",3.402,34.56,70.05
Kabul,34.56N,"70.05E",4.671,34.56,70.05
Kabul,34.56N,"70.05E",9.108,34.56,70.05
Kabul,34.56N,"70.05E",13.819,34.56,70.05
Kabul,34.56N,"70.05E",18.556,34.56,70.05
Kabul,34.56N,"70.05E",24.569,34.56,70.05
Kabul,34.56N,"70.05E",27.3,34.56,70.05
Kabul,34.56N,"70.05E",25.253,34.56,70.05
Kabul,34.56N,"70.05E",22.257,34.56,70.05
Kabul,34.56N,"70.05E",15.692,34.56,70.05
Kabul,34.56N,"70.05E",8.789,34.56,70.05
Kabul,34.56N,"70.05E",3.844,34.56,70.05
Kabul,34.56N,"70.05E",2.373,34.56,70.05
Kabul,34.56N,"70.05E",4.053,34.56,70.05
Kabul,34.56N,"70.05E",8.108,34.56,70.05
Kabul,34.56N,"70.05E",16.045,34.56,70.05
Kabul,34.56N,"70.05E",20.438,34.56,70.05
Kabul,34.56N,"70.05E",24.256,34.56,70.05
Kabul,34.56N,"70.05E",26.574,34.56,70.05
Kabul,34.56N,"70.05E",25.317,34.56,70.05
Kabul,34.56N,"70.05E",22.022,34.56,70.05
Kabul,34.56N,"70.05E",16.099,34.56,70.05
Kabul,34.56N,"70.05E",10.529,34.56,70.05
Kabul,34.56N,"70.05E",5.856,34.56,70.05
Kabul,34.56N,"70.05E",2.808,34.56,70.05
Kabul,34.56N,"70.05E",6.825,34.56,70.05
Kabul,34.56N,"70.05E",9.719,34.56,70.05
Kabul,34.56N,"70.05E",16.007,34.56,70.05
Kabul,34.56N,"70.05E",21.955,34.56,70.05
Kabul,34.56N,"70.05E",25.579,34.56,70.05
Kabul,34.56N,"70.05E",26.4,34.56,70.05
Kabul,34.56N,"70.05E",25.764,34.56,70.05
Kabul,34.56N,"70.05E",22.778,34.56,70.05
Kabul,34.56N,"70.05E",16.871,34.56,70.05
Kabul,34.56N,"70.05E",10.144,34.56,70.05
Kabul,34.56N,"70.05E",5.772,34.56,70.05
Kabul,34.56N,"70.05E",3.326,34.56,70.05
Kabul,34.56N,"70.05E",3.454,34.56,70.05
Kabul,34.56N,"70.05E",9.612,34.56,70.05
Kabul,34.56N,"70.05E",17.925,34.56,70.05
Kabul,34.56N,"70.05E",24.658,34.56,70.05
Kabul,34.56N,"70.05E",25.582,34.56,70.05
Kabul,34.56N,"70.05E",26.107,34.56,70.05
Kabul,34.56N,"70.05E",25.459,34.56,70.05
Kabul,34.56N,"70.05E",22.116,34.56,70.05
Kabul,34.56N,"70.05E",16.806,34.56,70.05
Kabul,34.56N,"70.05E",9.72,34.56,70.05
Kabul,34.56N,"70.05E",5.107,34.56,70.05
Kabul,34.56N,"70.05E",2.208,34.56,70.05
Kabul,34.56N,"70.05E",5.567,34.56,70.05
Kabul,34.56N,"70.05E",10.807,34.56,70.05
Kabul,34.56N,"70.05E",16.587,34.56,70.05
Kabul,34.56N,"70.05E",23.782,34.56,70.05
Kabul,34.56N,"70.05E",25.905,34.56,70.05
Kabul,34.56N,"70.05E",26.065,34.56,70.05
Kabul,34.56N,"70.05E",25.149,34.56,70.05
Kabul,34.56N,"70.05E",21.178,34.56,70.05
Kabul,34.56N,"70.05E",16.552,34.56,70.05
Kabul,34.56N,"70.05E",10.731,34.56,70.05
Kabul,34.56N,"70.05E",5.644,34.56,70.05
Kabul,34.56N,"70.05E",3.432,34.56,70.05
Kabul,34.56N,"70.05E",4.735,34.56,70.05
Kabul,34.56N,"70.05E",11.382,34.56,70.05
Kabul,34.56N,"70.05E",15.668,34.56,70.05
Kabul,34.56N,"70.05E",21.992,34.56,70.05
Kabul,34.56N,"70.05E",25.957,34.56,70.05
Kabul,34.56N,"70.05E",26.732,34.56,70.05
Kabul,34.56N,"70.05E",25.736,34.56,70.05
Kabul,34.56N,"70.05E",20.907,34.56,70.05
Kabul,34.56N,"70.05E",17.33,34.56,70.05
Kabul,34.56N,"70.05E",10.447,34.56,70.05
Kabul,34.56N,"70.05E",4.257,34.56,70.05
Kabul,34.56N,"70.05E",4.334,34.56,70.05
Kabul,34.56N,"70.05E",4.714,34.56,70.05
Kabul,34.56N,"70.05E",9.071,34.56,70.05
Kabul,34.56N,"70.05E",15.486,34.56,70.05
Kabul,34.56N,"70.05E",19.13,34.56,70.05
Kabul,34.56N,"70.05E",25.716,34.56,70.05
Kabul,34.56N,"70.05E",26.815,34.56,70.05
Kabul,34.56N,"70.05E",25.149,34.56,70.05
Kabul,34.56N,"70.05E",21.945,34.56,70.05
Kabul,34.56N,"70.05E",15.884,34.56,70.05
Kabul,34.56N,"70.05E",8.681,34.56,70.05
Kabul,34.56N,"70.05E",4.666,34.56,70.05
Kabul,34.56N,"70.05E",3.655,34.56,70.05
Kabul,34.56N,"70.05E",6.775,34.56,70.05
Kabul,34.56N,"70.05E",13.747,34.56,70.05
Kabul,34.56N,"70.05E",16.863,34.56,70.05
Kabul,34.56N,"70.05E",21.696,34.56,70.05
Kabul,34.56N,"70.05E",25.645,34.56,70.05
Kabul,34.56N,"70.05E",26.467,34.56,70.05
Kabul,34.56N,"70.05E",25.41,34.56,70.05
Kabul,34.56N,"70.05E",22.635,34.56,70.05
Kabul,34.56N,"70.05E",14.367,34.56,70.05
Kabul,34.56N,"70.05E",11.119,34.56,70.05
Kabul,34.56N,"70.05E",5.162,34.56,70.05
Kabul,34.56N,"70.05E",1.383,34.56,70.05
Kabul,34.56N,"70.05E",2.846,34.56,70.05
Kabul,34.56N,"70.05E",10.608,34.56,70.05
Kabul,34.56N,"70.05E",15.141,34.56,70.05
Kabul,34.56N,"70.05E",18.04,34.56,70.05
Kabul,34.56N,"70.05E",25.449,34.56,70.05
Kabul,34.56N,"70.05E",26.758,34.56,70.05
Kabul,34.56N,"70.05E",25.312,34.56,70.05
Kabul,34.56N,"70.05E",23.177,34.56,70.05
Kabul,34.56N,"70.05E",16.608,34.56,70.05
Kabul,34.56N,"70.05E",8.724,34.56,70.05
Kabul,34.56N,"70.05E",4.124,34.56,70.05
Kabul,34.56N,"70.05E",1.244,34.56,70.05
Kabul,34.56N,"70.05E",8.884,34.56,70.05
Kabul,34.56N,"70.05E",10.649,34.56,70.05
Kabul,34.56N,"70.05E",15.276,34.56,70.05
Kabul,34.56N,"70.05E",24.727,34.56,70.05
Kabul,34.56N,"70.05E",25.47,34.56,70.05
Kabul,34.56N,"70.05E",27.16,34.56,70.05
Kabul,34.56N,"70.05E",24.995,34.56,70.05
Kabul,34.56N,"70.05E",21.792,34.56,70.05
Kabul,34.56N,"70.05E",18.008,34.56,70.05
Kabul,34.56N,"70.05E",9.751,34.56,70.05
Kabul,34.56N,"70.05E",1.626,34.56,70.05
Kabul,34.56N,"70.05E",2.093,34.56,70.05
Kabul,34.56N,"70.05E",5.725,34.56,70.05
Kabul,34.56N,"70.05E",9.087,34.56,70.05
Kabul,34.56N,"70.05E",18.517,34.56,70.05
Kabul,34.56N,"70.05E",21.825,34.56,70.05
Kabul,34.56N,"70.05E",25.676,34.56,70.05
Kabul,34.56N,"70.05E",26.295,34.56,70.05
Kabul,34.56N,"70.05E",25.469,34.56,70.05
Kabul,34.56N,"70.05E",22.065,34.56,70.05
Kabul,34.56N,"70.05E",15.089,34.56,70.05
Kabul,34.56N,"70.05E",10.702,34.56,70.05
Kabul,34.56N,"70.05E",3.673,34.56,70.05
Kabul,34.56N,"70.05E",-0.906,34.56,70.05
Kabul,34.56N,"70.05E",3.652,34.56,70.05
Kabul,34.56N,"70.05E",13.431,34.56,70.05
Kabul,34.56N,"70.05E",15.293,34.56,70.05
Kabul,34.56N,"70.05E",22.778,34.56,70.05
Kabul,34.56N,"70.05E",26.958,34.56,70.05
Kabul,34.56N,"70.05E",26.485,34.56,70.05
Kabul,34.56N,"70.05E",24.594,34.56,70.05
Kabul,34.56N,"70.05E",21.575,34.56,70.05
Kabul,34.56N,"70.05E",17.131,34.56,70.05
Kabul,34.56N,"70.05E",9.468,34.56,70.05
Kabul,34.56N,"70.05E",5.292,34.56,70.05
Kabul,34.56N,"70.05E",3.669,34.56,70.05
Kabul,34.56N,"70.05E",5.412,34.56,70.05
Kabul,34.56N,"70.05E",10.331,34.56,70.05
Kabul,34.56N,"70.05E",13.367,34.56,70.05
Kabul,34.56N,"70.05E",21.221,34.56,70.05
Kabul,34.56N,"70.05E",22.915,34.56,70.05
Kabul,34.56N,"70.05E",26.895,34.56,70.05
Kabul,34.56N,"70.05E",26.472,34.56,70.05
Kabul,34.56N,"70.05E",22.481,34.56,70.05
Kabul,34.56N,"70.05E",15.358,34.56,70.05
Kabul,34.56N,"70.05E",8.616,34.56,70.05
Kabul,34.56N,"70.05E",4.383,34.56,70.05
Kabul,34.56N,"70.05E",5.165,34.56,70.05
Kabul,34.56N,"70.05E",4.331,34.56,70.05
Kabul,34.56N,"70.05E",13.89,34.56,70.05
Kabul,34.56N,"70.05E",17.285,34.56,70.05
Kabul,34.56N,"70.05E",20.891,34.56,70.05
Kabul,34.56N,"70.05E",23.92,34.56,70.05
Kabul,34.56N,"70.05E",25.864,34.56,70.05
Kabul,34.56N,"70.05E",24.2,34.56,70.05
Kabul,34.56N,"70.05E",20.609,34.56,70.05
Kabul,34.56N,"70.05E",17.365,34.56,70.05
Kabul,34.56N,"70.05E",10.053,34.56,70.05
Kabul,34.56N,"70.05E",4.539,34.56,70.05
Kabul,34.56N,"70.05E",3.2,34.56,70.05
Kabul,34.56N,"70.05E",3.914,34.56,70.05
Kabul,34.56N,"70.05E",11.126,34.56,70.05
Kabul,34.56N,"70.05E",15.598,34.56,70.05
Kabul,34.56N,"70.05E",24.205,34.56,70.05
